track_ids,count,producers
"('3CeCwYWvdfXbZLXFhBrbnf', '7KokYm8cMIXCsGVmUvKtqf')",1,['Taylor Swift']
"('3KdoeNlEN0BoAKWzaRLNZa', '3hUxzQpSfdDqwM3ZTFQY0K')",1,['Jack Antonoff']
"('3KdoeNlEN0BoAKWzaRLNZa', '3rWDp9tBPQR9z6U5YyRSK4')",1,['Jack Antonoff']
"('3KdoeNlEN0BoAKWzaRLNZa', '5N3hjp1WNayUPZrA8kJmJP')",1,['Jack Antonoff']
"('3KdoeNlEN0BoAKWzaRLNZa', '5enxwA8aAbwZbf5qCHORXi')",1,['Jack Antonoff']
"('3KdoeNlEN0BoAKWzaRLNZa', '5jQI2r1RdgtuT8S3iG8zFC')",1,['Jack Antonoff']
"('3KdoeNlEN0BoAKWzaRLNZa', '7KokYm8cMIXCsGVmUvKtqf')",1,['Jack Antonoff']
"('3hUxzQpSfdDqwM3ZTFQY0K', '3rWDp9tBPQR9z6U5YyRSK4')",2,"['Taylor Swift', 'Jack Antonoff']"
"('3hUxzQpSfdDqwM3ZTFQY0K', '4P9Q0GojKVXpRTJCaL3kyy')",1,['Taylor Swift']
"('3hUxzQpSfdDqwM3ZTFQY0K', '5N3hjp1WNayUPZrA8kJmJP')",1,['Jack Antonoff']
"('3hUxzQpSfdDqwM3ZTFQY0K', '5enxwA8aAbwZbf5qCHORXi')",2,"['Taylor Swift', 'Jack Antonoff']"
"('3hUxzQpSfdDqwM3ZTFQY0K', '5jQI2r1RdgtuT8S3iG8zFC')",2,"['Taylor Swift', 'Jack Antonoff']"
"('3hUxzQpSfdDqwM3ZTFQY0K', '7KokYm8cMIXCsGVmUvKtqf')",2,"['Taylor Swift', 'Jack Antonoff']"
"('3k79jB4aGmMDUQzEwa46Rz', '4ZtFanR9U6ndgddUvNcjcG')",1,['Dan Nigro']
"('3k79jB4aGmMDUQzEwa46Rz', '4xqrdfXkTW4T0RauPLv3WA')",1,['Dan Nigro']
"('3k79jB4aGmMDUQzEwa46Rz', '56xHMIfQPoe0prrSi3BGhf')",1,['Dan Nigro']
"('3k79jB4aGmMDUQzEwa46Rz', '5CZ40GBx1sQ9agT82CLQCT')",1,['Dan Nigro']
"('3k79jB4aGmMDUQzEwa46Rz', '5JCoSi02qi3jJeHdZXMmR8')",1,['Dan Nigro']
"('3k79jB4aGmMDUQzEwa46Rz', '61KpQadow081I2AsbeLcsb')",1,['Dan Nigro']
"('3k79jB4aGmMDUQzEwa46Rz', '7lPN2DXiMsVn7XUKtOW1CS')",1,['Dan Nigro']
"('3rWDp9tBPQR9z6U5YyRSK4', '4P9Q0GojKVXpRTJCaL3kyy')",1,['Taylor Swift']
